CLASS,ENGLISH_P,HINDI_P,MATHEMATICS_P,SCIENCE_P,SOCIAL_SCIENCE_P,PERCENTAGE
9,8.0,8.2,49 ,45 ,6.4,56.0
9,9.5,8.8,8.1,7.6,8.4,75.5
9,9.1,9.1,6.9,6.5,8.4,76.3
9,8.6,8.9,9.7,7.0,7A ,78.7
9,8.6,7.9,6.8,6.1,5.6,60.0
9,8.4,7A ,9.3,77 ,6.3,70.0
9,7.4,6.2,8.5,5.8,5.1,55.3
9,9.2,9.6,9.9,9.4,9.7,94.6
9,8.9,9.2,8.4,8.4,9.7,85.8
9,8.3,6.7,5.8,5.2,5.2,55.8
9,8.8,9.6,9.7,9.3,9.8,94.2
9,8.9,8.9,9.1,8.2,77 ,85.2
9,75 ,7.6,45 ,6.7,7A ,58.8
9,8.5,8.4,6.8,7.9,8.2,77.1
9,8.1,6.3,47 ,6.1,5.5,59.3
9,6.9,6.6,5.2,4.2,46 ,54.2
9,9.5,9.8,9.2,9.6,9.9,95.4
9,8.3,8.6,2.3,41 ,6.8,61.9
9,7A ,7.9,5.3,5.8,6.5,57.8
9,7.0,7.2,5.5,43 ,43 ,59.3
9,8.5,7.8,8.1,77 ,7.8,79.4
9,7.8,6.7,7.2,5.9,5.6,54.9
9,8.8,8.8,6.1,6.9,8.1,72.7
9,75 ,7A ,7.0,51 ,43 ,59.1
9,8.9,8.7,8.3,7.3,7.2,71.6
9,9.0,8.7,7.8,8.0,7.4,75.1
9,9.0,9.0,9.0,8.8,8.2,85.8
9,8.4,8.7,8.1,8.7,9.8,81.2
9,9.3,9.4,9.6,9.6,9.2,93.4
9,9.5,9.9,8.6,9.1,9.8,94.8
9,6.2,7.2,3.5,6.1,6.3,56.6
9,8.2,8.5,75 ,75 ,6.6,63.9
9,7.9,6.4,6.3,6.3,7.2,65.5
9,7A ,7.0,47 ,47 ,6.3,55.8
9,8.8,9.6,9.2,8.9,9.8,93.7
9,9.5,8.5,7.8,8.4,9.5,83.3
9,8.5,8.7,8.2,8.0,8.8,83.6
9,9.6,9.9,10.,10.,9.8,95.5
9,8.0,7.2,4.0,41 ,46 ,58.5
9,7.6,6.7,8.1,7.2,6.8,68.8
9,8.0,6.8,6.7,6.0,6.8,64.6
9,7.9,8.0,5.2,4.8,4.8,58.6
9,9.1,8.0,8.5,74 ,8.5,70.1
9,8.1,8.5,8.9,6.9,7A ,70.4
9,7.6,7.2,5.5,5.6,7.0,56.7
9,5.4,6.2,3.0,4.0,3.9,49.2
9,8.8,5.5,7.4,5.3,7A ,70.3
9,8.5,8.3,7.6,6.6,7.2,77.3
9,8.3,8.6,74 ,7.6,5.7,59.2
9,7.9,6.8,6.5,5.6,5.4,61.5
9,46 ,3.4,45 ,3.5,2.8,43.9
9,8.4,8.4,8.4,6.2,75 ,71.7
9,74 ,74 ,5.8,47 ,5.9,56.1
9,7.3,6.5,51 ,5.9,7.3,62.3
9,8.1,8.4,6.4,6.9,7.4,76.3
9,7.6,7A ,7A ,6.7,6.3,66.4
9,47 ,5.3,5.6,6.7,5.8,55.1
9,7.9,77 ,4.8,6.2,7.2,71.9
9,8.1,75 ,3.5,5.7,5.9,59.5
9,9.3,9.1,9.5,8.9,9.5,90.4
9,7.9,77 ,8.9,6.0,6.9,68.6
9,79 ,79 ,6.4,6.6,6.9,73.5
9,5.8,6.0,4.8,45 ,4.6,45.3
9,77 ,6.4,6.1,6.5,77 ,59.3
